Module                  Size  Used by
mac_hid                16384  0
acpi_thermal_rel       16384  1 int3400_thermal
ac                     16384  0
vboxnetflt             32768  0
vboxnetadp             28672  0
vboxpci                28672  0
vboxdrv               503808  3 vboxpci,vboxnetadp,vboxnetflt
sg                     40960  0
crypto_user            16384  0
ip_tables              36864  0
x_tables               49152  1 ip_tables
ext4                  770048  1
crc32c_generic         16384  0
crc16                  16384  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  135168  1 ext4
sd_mod                 57344  4
ahci                   40960  3
libahci                40960  1 ahci
serio_raw              20480  0
sdhci_pci              49152  0
atkbd                  36864  0
libps2                 20480  1 atkbd
cqhci                  32768  1 sdhci_pci
libata                282624  2 libahci,ahci
sdhci                  69632  1 sdhci_pci
xhci_pci               20480  0
mmc_core              184320  3 sdhci,cqhci,sdhci_pci
crc32c_intel           24576  1
scsi_mod              249856  3 sd_mod,libata,sg
xhci_hcd              278528  1 xhci_pci
i8042                  32768  1 ideapad_laptop
serio                  28672  5 rmi_core,serio_raw,atkbd,i8042
